sex,age,address,internet,Medu,Fedu,famrel,health,reason,higher,traveltime,studytime,paid_mat,paid_por,failures_mat,failures_por,absences_mat,absences_por,G1_mat,G1_por,G2_mat,G2_por,G3_mat,G3_por
F,17,U,yes,2,2,4,5,course,yes,2,2,yes,no,0,0,6,6,12,12,12,12,12,12
F,18,R,yes,3,2,4,5,home,no,2,2,no,no,0,0,75,15,10,12,9,9,9,10
M,18,U,yes,4,4,3,3,home,yes,2,1,yes,no,0,0,22,6,9,11,9,12,9,12
F,18,U,yes,4,4,2,4,reputation,yes,1,2,no,no,1,1,15,2,9,14,8,12,8,13
M,18,U,yes,4,3,4,1,course,yes,2,1,yes,no,0,0,8,0,10,10,11,10,10,10
M,17,U,yes,4,1,4,5,home,yes,2,1,yes,no,0,0,30,22,8,11,8,11,8,10
M,17,U,yes,3,2,4,3,home,yes,1,1,no,no,1,0,19,18,11,13,9,13,10,13
F,18,R,no,1,1,5,3,reputation,yes,2,4,yes,no,0,0,1,2,12,17,12,17,12,18
F,18,U,yes,1,1,5,4,home,yes,2,2,no,no,0,0,4,0,8,12,9,13,10,13
F,17,U,yes,2,2,5,5,course,yes,1,2,no,no,0,0,4,12,10,12,9,12,11,14
M,17,U,yes,1,1,4,4,reputation,yes,1,2,yes,no,0,0,2,0,12,12,10,12,11,12
F,18,U,yes,2,2,4,2,other,yes,1,3,yes,no,0,0,5,0,18,18,18,18,19,18
F,17,U,yes,1,1,4,3,reputation,yes,1,3,yes,no,0,0,6,0,13,13,12,13,12,14
M,18,U,yes,2,1,4,2,reputation,yes,1,3,yes,no,0,0,6,0,15,14,14,15,14,15
M,18,U,yes,4,4,5,2,reputation,yes,1,2,yes,no,0,0,9,0,15,17,13,17,15,17
M,18,U,yes,4,2,4,5,home,yes,1,2,yes,no,0,0,11,2,12,15,11,16,11,16
F,17,U,yes,4,3,4,3,reputation,yes,1,3,yes,no,0,0,0,0,15,17,15,18,15,18
F,17,R,no,3,1,3,3,reputation,yes,2,4,yes,no,0,0,6,0,18,18,18,19,18,19
M,18,R,yes,3,2,5,4,reputation,yes,2,3,yes,no,0,0,8,0,14,14,13,15,14,15
M,17,U,yes,3,3,4,5,home,yes,1,1,yes,no,0,0,4,0,14,14,12,15,11,15
F,19,U,yes,4,4,2,2,reputation,yes,2,2,yes,no,0,0,0,2,10,14,9,13,0,13
F,18,U,yes,4,3,4,2,home,yes,2,2,yes,no,0,0,10,0,10,13,8,14,8,14
F,18,U,yes,4,3,4,3,reputation,yes,1,4,yes,no,0,0,0,0,14,16,13,17,14,17
M,18,U,yes,4,4,1,1,home,yes,1,1,yes,no,0,0,5,0,16,18,15,18,16,17
F,18,U,yes,4,4,4,4,home,yes,1,2,no,yes,0,0,14,0,12,14,10,15,11,15
M,17,U,yes,4,4,4,5,home,yes,2,1,yes,no,0,0,0,0,11,12,11,13,10,13
F,17,U,yes,4,2,4,3,reputation,yes,2,3,yes,no,0,0,0,0,15,16,12,16,14,16
F,17,U,yes,3,2,5,5,reputation,yes,1,4,yes,no,0,0,0,0,17,18,17,18,18,18
M,20,U,no,3,2,5,5,course,yes,1,1,no,no,0,2,0,0,17,14,18,15,18,15
M,19,R,no,3,3,4,5,reputation,yes,1,2,no,no,1,0,0,0,15,10,12,10,12,11
F,18,U,yes,2,1,5,1,course,yes,2,2,yes,no,0,0,0,2,8,12,8,12,0,15
F,18,U,yes,4,3,4,5,course,yes,1,3,yes,no,0,0,9,2,9,14,10,15,9,17
F,17,R,yes,3,4,4,5,course,yes,1,3,yes,no,0,0,0,2,11,15,11,15,10,17
F,18,U,yes,4,4,4,5,course,yes,1,2,yes,no,0,0,2,0,11,12,11,11,11,13
F,17,U,yes,4,3,5,5,course,yes,1,2,yes,no,0,0,23,14,13,15,13,14,13,17
F,17,U,no,2,2,4,3,course,yes,1,2,no,no,0,0,12,4,11,14,9,13,9,13
F,17,R,yes,2,2,3,3,course,yes,1,3,yes,no,0,0,3,0,11,11,11,11,11,10
F,17,U,yes,3,1,3,5,course,yes,1,3,no,no,0,0,1,0,12,17,14,18,15,17
F,17,U,yes,0,2,3,2,home,yes,2,3,no,no,0,0,0,0,16,14,15,14,15,15
M,18,U,yes,4,4,4,3,course,yes,1,3,no,no,0,0,3,0,9,13,12,14,11,13
M,17,U,yes,3,3,4,5,reputation,yes,1,1,no,no,0,0,3,0,14,17,15,18,16,17
M,17,R,yes,2,2,4,4,course,yes,4,1,no,no,0,0,8,2,11,11,10,10,10,10
F,17,U,yes,4,4,5,4,course,yes,1,3,yes,no,0,0,7,0,10,13,9,12,9,13
F,17,U,yes,4,4,4,4,course,yes,2,3,yes,no,0,0,4,4,14,15,14,14,14,15
M,18,U,yes,2,2,4,5,course,yes,1,4,no,yes,0,0,2,0,9,11,8,11,8,12
F,17,R,yes,2,4,4,5,course,yes,1,3,no,no,0,0,7,0,12,15,14,15,14,15
F,18,U,yes,3,3,5,4,home,yes,1,2,no,no,0,0,0,8,7,10,0,11,0,12
F,18,U,yes,2,2,4,2,home,yes,1,2,no,no,0,0,0,0,8,10,8,9,0,12
F,18,R,no,2,2,4,4,course,yes,2,4,no,no,0,0,0,6,10,14,9,13,0,14
F,17,U,yes,3,4,4,5,course,yes,1,3,no,no,0,0,16,8,16,11,15,13,15,14
F,17,U,yes,3,2,4,2,home,yes,1,2,yes,no,0,0,0,0,7,12,8,13,0,15
F,18,U,yes,3,3,5,1,home,yes,1,4,no,no,0,0,7,4,16,14,15,14,17,15
F,17,R,yes,3,2,4,2,home,yes,1,2,yes,no,0,0,4,0,9,14,10,14,10,16
M,18,U,yes,4,4,4,2,home,yes,1,2,no,no,1,0,0,0,10,12,10,12,0,13
M,18,U,yes,3,4,4,5,home,yes,1,2,no,no,0,0,11,6,16,16,15,16,15,17
F,17,U,yes,2,2,3,4,home,yes,1,2,no,no,1,0,0,18,9,10,8,12,0,14
F,18,U,yes,2,3,4,3,course,yes,1,3,no,no,0,0,4,0,11,11,10,12,10,14
F,18,U,yes,3,2,5,1,other,yes,1,3,no,no,0,0,7,4,13,14,13,16,14,17
M,18,R,yes,4,3,5,4,course,yes,1,3,no,no,0,0,9,4,16,15,15,14,16,17
M,18,U,yes,4,3,5,5,course,yes,1,3,yes,no,0,0,0,0,10,14,10,13,9,14
F,17,U,yes,4,3,4,4,reputation,yes,1,3,yes,no,0,0,0,0,13,11,15,12,15,13
