TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,N_PESSOAS_CASA,RENDA_MENSAL_CASA,N_CARRO_CASA,N_MOTO_CASA,N_CELULAR_CASA,N_COMP_CASA,INTERNET_CASA,EST_IDADE
Feminino,Preta,Estadual,577.6,575.1,566.9,560.6,620.0,ES incompleto,ES incompleto,3,Até R$1980,Um,Nenhum,Três,Um,True,17.0
Feminino,Branca,Privada,657.7,597.4,735.1,655.5,860.0,PG incompleto,PG completo,2,Até R$10560,Nenhum,Nenhum,Dois,Dois,True,17.0
Masculino,Branca,Privada,632.8,601.5,838.3,605.6,380.0,EM incompleto,ES incompleto,3,Até R$10560,Um,Nenhum,Três,Um,True,17.0
Feminino,Parda,Privada,526.6,560.1,534.8,526.4,900.0,ES incompleto,EF-1 incompleto,3,Até R$1320,Nenhum,Nenhum,Três,Nenhum,True,18.0
Masculino,Preta,Estadual,553.6,453.3,572.9,515.5,340.0,EM incompleto,EF-2 incompleto,6,Até R$6600,Um,Nenhum,Quatro ou mais,Nenhum,True,18.0
Feminino,Branca,Estadual,593.9,544.5,559.0,537.1,680.0,PG incompleto,PG incompleto,4,Até R$5280,Um,Nenhum,Quatro ou mais,Dois,True,17.0
Feminino,Branca,Privada,604.0,573.3,590.7,562.8,480.0,ES incompleto,PG completo,4,Até R$2640,Um,Nenhum,Quatro ou mais,Um,True,17.0
Feminino,Branca,Estadual,495.6,524.4,662.8,525.8,880.0,EF-1 incompleto,EF-2 incompleto,2,Até R$1320,Nenhum,Nenhum,Um,Nenhum,True,18.0
Masculino,Branca,Privada,517.6,422.9,582.3,524.0,0.0,ES incompleto,PG incompleto,3,Até R$7920,Um,Nenhum,Três,Nenhum,True,17.0
Masculino,Amarela,Privada,587.4,578.6,637.7,638.0,700.0,PG completo,PG incompleto,2,Até R$13200,Um,Nenhum,Dois,Dois,True,18.0
Masculino,Branca,Privada,524.9,469.6,690.3,451.5,580.0,PG completo,PG completo,4,Mais de R$26.400,Três,Nenhum,Dois,Três,True,17.0
Masculino,Preta,Privada,516.0,481.9,519.1,552.4,680.0,PG incompleto,PG completo,4,Até R$19800,Um,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Preta,Estadual,473.3,541.3,444.8,487.3,560.0,EF-2 incompleto,EM incompleto,2,Até R$1320,Nenhum,Nenhum,Dois,Nenhum,True,18.0
Feminino,Branca,Privada,590.2,573.5,766.8,626.7,880.0,ES incompleto,ES incompleto,4,Até R$3960,Um,Nenhum,Quatro ou mais,Nenhum,True,17.0
Feminino,Branca,Privada,639.2,603.9,565.0,545.8,820.0,PG completo,PG completo,3,Até R$6600,Dois,Nenhum,Três,Um,True,17.0
Masculino,Branca,Privada,598.6,562.5,697.0,608.1,720.0,PG completo,ES incompleto,3,Até R$11880,Dois,Nenhum,Três,Um,True,17.0
Feminino,Branca,Privada,528.0,505.1,448.6,531.7,780.0,ES incompleto,ES incompleto,4,Até R$1980,Um,Nenhum,Quatro ou mais,Nenhum,True,18.0
Masculino,Branca,Privada,512.6,412.7,775.0,578.2,560.0,PG completo,PG incompleto,4,Até R$10560,Dois,Nenhum,Nenhum,Dois,True,17.0
Feminino,Branca,Estadual,567.4,412.5,357.5,559.1,600.0,EF-1 incompleto,EF-1 incompleto,3,Até R$1320,Nenhum,Nenhum,Um,Nenhum,True,18.0
Masculino,Branca,Privada,588.8,510.6,455.6,551.8,600.0,EF-2 incompleto,PG incompleto,4,Até R$26400,Um,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Privada,642.9,657.4,668.3,631.6,740.0,PG completo,PG incompleto,3,Mais de R$26.400,Dois,Nenhum,Quatro ou mais,Dois,True,17.0
Masculino,Parda,Privada,336.5,345.2,661.6,510.7,260.0,ES incompleto,ES incompleto,5,Até R$9240,Um,Nenhum,Nenhum,Três,True,18.0
Feminino,Branca,Estadual,599.9,559.7,619.7,594.8,900.0,EF-2 incompleto,EM incompleto,3,Até R$1320,Um,Nenhum,Três,Um,True,18.0
Feminino,Amarela,Privada,596.5,552.1,648.8,572.3,800.0,EF-2 incompleto,EF-2 incompleto,6,Até R$9240,Um,Nenhum,Dois,Um,True,18.0
Masculino,Branca,Estadual,478.2,342.3,529.9,437.6,0.0,PG completo,Nunca estudou,5,Até R$1320,Nenhum,Nenhum,Nenhum,Nenhum,False,19.0
Feminino,Branca,Estadual,513.1,409.1,526.3,492.4,560.0,EF-1 incompleto,ES incompleto,4,Até R$3960,Um,Nenhum,Três,Dois,True,17.0
Masculino,Branca,Privada,564.0,568.2,615.8,579.4,680.0,ES incompleto,PG incompleto,3,Até R$5280,Dois,Nenhum,Três,Um,True,17.0
Feminino,Branca,Estadual,644.5,439.2,541.9,593.5,760.0,ES incompleto,ES incompleto,4,Até R$1980,Um,Nenhum,Quatro ou mais,Um,True,19.0
Feminino,Branca,Privada,554.7,543.7,699.8,545.3,680.0,EM incompleto,ES incompleto,4,Até R$3300,Um,Nenhum,Quatro ou mais,Dois,True,17.0
Masculino,Preta,Estadual,635.3,559.8,648.5,587.6,560.0,ES incompleto,PG completo,4,Até R$2640,Nenhum,Nenhum,Quatro ou mais,Três,True,17.0
Masculino,Preta,Privada,564.0,546.6,567.7,552.4,580.0,EM incompleto,PG completo,3,Até R$7920,Um,Nenhum,Três,Três,True,17.0
Feminino,Indigena,Estadual,418.7,401.7,465.4,516.8,520.0,ES incompleto,EF-2 incompleto,6,Até R$3960,Um,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Amarela,Estadual,539.6,428.5,604.8,493.7,720.0,ES incompleto,ES incompleto,4,Até R$3960,Dois,Nenhum,Dois,Nenhum,True,18.0
Feminino,Parda,Estadual,452.8,449.4,547.7,547.5,740.0,ES incompleto,ES incompleto,2,Até R$2640,Um,Nenhum,Dois,Um,True,17.0
Feminino,Branca,Estadual,555.7,541.9,353.0,509.7,260.0,ES incompleto,ES incompleto,5,Até R$3300,Um,Nenhum,Três,Dois,True,18.0
Feminino,Preta,Estadual,515.6,497.5,457.0,655.6,380.0,ES incompleto,ES incompleto,2,Nenhuma renda,Nenhum,Nenhum,Um,Nenhum,True,18.0
Masculino,Branca,Privada,626.9,578.1,818.6,671.7,700.0,PG incompleto,EM incompleto,5,Até R$7920,Dois,Nenhum,Quatro ou mais,Dois,True,17.0
Feminino,Branca,Privada,515.9,434.0,469.6,536.3,600.0,PG incompleto,PG completo,4,Até R$2640,Um,Nenhum,Dois,Nenhum,True,18.0
Masculino,Branca,Privada,627.8,602.1,849.0,592.3,840.0,PG incompleto,PG completo,4,Mais de R$26.400,Três,Nenhum,Nenhum,Três,True,18.0
Feminino,Branca,Estadual,503.5,483.2,486.5,578.5,620.0,EF-2 incompleto,ES incompleto,4,Até R$2640,Um,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Privada,594.6,564.0,629.0,619.3,760.0,ES incompleto,PG incompleto,4,Até R$15840,Um,Nenhum,Um,Um,True,17.0
Masculino,Parda,Privada,535.0,604.5,689.0,530.4,600.0,PG incompleto,PG incompleto,4,Até R$3300,Um,Um,Quatro ou mais,Dois,True,17.0
Feminino,Branca,Privada,618.8,646.2,733.2,614.2,840.0,ES incompleto,PG completo,3,Até R$26400,Dois,Nenhum,Quatro ou mais,Quatro ou mais,True,17.0
Masculino,Branca,Estadual,529.4,419.0,642.4,546.4,900.0,ES incompleto,ES incompleto,3,Até R$1980,Nenhum,Nenhum,Dois,Nenhum,False,18.0
Feminino,Parda,Estadual,544.8,491.3,589.1,546.1,780.0,EM incompleto,PG completo,4,Até R$7920,Dois,Nenhum,Três,Um,True,18.0
Masculino,Branca,Privada,602.4,529.2,649.9,627.8,700.0,EM incompleto,PG completo,2,Até R$26400,Nenhum,Um,Dois,Um,True,18.0
Masculino,Branca,Privada,478.1,566.3,482.7,517.4,680.0,ES incompleto,ES incompleto,3,Até R$3960,Um,Nenhum,Três,Um,True,17.0
Masculino,Branca,Privada,591.7,595.6,546.2,550.5,720.0,ES incompleto,PG incompleto,3,Até R$9240,Três,Nenhum,Três,Dois,True,17.0
Masculino,Parda,Estadual,551.0,482.0,441.6,533.6,600.0,EM incompleto,EF-2 incompleto,5,Nenhuma renda,Nenhum,Nenhum,Um,Nenhum,False,19.0
Feminino,Parda,Estadual,646.2,457.9,371.6,613.2,620.0,ES incompleto,ES incompleto,3,Até R$5280,Um,Nenhum,Dois,Nenhum,False,18.0
Feminino,Parda,Privada,480.2,472.8,467.1,428.7,500.0,ES incompleto,ES incompleto,4,Até R$5280,Um,Um,Três,Dois,True,17.0
Feminino,Branca,Estadual,548.1,420.9,451.0,524.4,680.0,PG incompleto,PG incompleto,3,Até R$2640,Um,Nenhum,Três,Um,True,17.0
Feminino,Branca,Privada,669.6,555.1,734.2,620.5,880.0,PG completo,PG completo,4,Até R$11880,Um,Nenhum,Três,Um,True,17.0
Feminino,Parda,Estadual,476.6,524.8,368.9,460.5,800.0,ES incompleto,ES incompleto,4,Até R$1980,Nenhum,Nenhum,Um,Um,True,18.0
Feminino,Parda,Estadual,447.6,512.9,563.4,444.2,520.0,PG incompleto,ES incompleto,5,Até R$5280,Um,Um,Quatro ou mais,Nenhum,True,17.0
Masculino,Branca,Privada,517.4,457.3,596.0,566.2,620.0,PG incompleto,PG incompleto,3,Até R$2640,Dois,Nenhum,Três,Dois,True,17.0
Masculino,Branca,Estadual,528.7,409.1,430.6,478.2,600.0,EF-1 incompleto,EF-1 incompleto,4,Até R$1980,Nenhum,Nenhum,Quatro ou mais,Nenhum,True,18.0
Feminino,Amarela,Privada,653.3,726.6,908.8,622.2,880.0,PG completo,PG completo,4,Até R$9240,Um,Nenhum,Quatro ou mais,Três,True,17.0
Feminino,Preta,Estadual,592.4,515.4,531.4,541.9,660.0,ES incompleto,PG incompleto,4,Até R$5280,Um,Nenhum,Três,Um,True,17.0
Feminino,Branca,Estadual,493.0,443.5,522.3,560.8,520.0,ES incompleto,ES incompleto,3,Até R$2640,Um,Nenhum,Dois,Nenhum,True,18.0
Masculino,Branca,Estadual,605.0,571.5,690.9,620.5,560.0,ES incompleto,ES incompleto,3,Até R$3960,Um,Um,Quatro ou mais,Um,True,17.0
Masculino,Parda,Municipal,467.2,429.9,546.5,412.6,620.0,ES incompleto,PG completo,5,Até R$1980,Dois,Um,Quatro ou mais,Nenhum,True,17.0
Feminino,Preta,Estadual,527.1,479.6,539.2,574.3,540.0,ES incompleto,ES incompleto,3,Até R$9240,Um,Um,Quatro ou mais,Nenhum,True,18.0
Feminino,Branca,Estadual,443.1,405.8,366.9,404.8,520.0,ES incompleto,ES incompleto,3,Até R$1320,Nenhum,Nenhum,Três,Nenhum,True,20.0
Feminino,Branca,Estadual,601.8,447.7,485.6,508.9,640.0,ES incompleto,ES incompleto,4,Até R$3960,Nenhum,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Privada,429.0,381.7,335.7,434.3,820.0,PG completo,PG incompleto,5,Mais de R$26.400,Dois,Nenhum,Quatro ou mais,Quatro ou mais,True,18.0
Feminino,Preta,Privada,554.4,597.0,603.7,590.9,920.0,PG completo,PG completo,4,Até R$6600,Um,Nenhum,Quatro ou mais,Três,True,18.0
Masculino,Branca,Privada,697.5,593.9,700.0,576.8,840.0,PG completo,PG incompleto,4,Até R$19800,Um,Nenhum,Quatro ou mais,Quatro ou mais,True,18.0
Masculino,Parda,Estadual,605.0,528.7,651.5,617.5,640.0,EF-2 incompleto,EM incompleto,4,Até R$5280,Um,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Privada,366.7,445.3,462.7,450.4,660.0,EF-2 incompleto,ES incompleto,5,Até R$15840,Um,Nenhum,Nenhum,Dois,True,18.0
Feminino,Parda,Estadual,491.4,478.6,556.3,533.9,720.0,ES incompleto,EM incompleto,5,Até R$3960,Um,Nenhum,Quatro ou mais,Nenhum,True,18.0
Masculino,Branca,Privada,542.6,472.4,618.7,516.7,580.0,ES incompleto,ES incompleto,4,Até R$7920,Um,Nenhum,Dois,Um,True,17.0
Masculino,Branca,Privada,485.4,441.3,524.7,548.6,400.0,PG incompleto,EM incompleto,3,Até R$3960,Dois,Nenhum,Três,Dois,True,17.0
Masculino,Parda,Municipal,454.3,495.4,546.8,510.2,560.0,EM incompleto,EM incompleto,2,Até R$2640,Nenhum,Nenhum,Dois,Um,True,18.0
Feminino,Branca,Estadual,538.4,532.2,499.8,553.5,820.0,EF-1 incompleto,EF-1 incompleto,4,Até R$2640,Um,Nenhum,Três,Nenhum,True,18.0
Masculino,Parda,Privada,644.9,649.2,841.4,653.2,960.0,PG completo,ES incompleto,4,Até R$13200,Dois,Nenhum,Quatro ou mais,Quatro ou mais,True,17.0
Masculino,Branca,Estadual,387.0,336.5,372.7,393.4,560.0,PG incompleto,PG completo,4,Até R$3960,Nenhum,Nenhum,Quatro ou mais,Três,True,18.0
Feminino,Parda,Privada,543.4,562.0,635.0,607.7,900.0,EM incompleto,PG completo,4,Até R$5280,Um,Nenhum,Três,Dois,True,17.0
Masculino,Branca,Privada,626.7,677.8,779.7,649.2,740.0,PG completo,ES incompleto,2,Até R$6600,Nenhum,Nenhum,Dois,Um,True,18.0
Feminino,Parda,Estadual,602.9,533.8,560.2,611.4,880.0,EM incompleto,EF-1 incompleto,4,Até R$2640,Um,Nenhum,Dois,Nenhum,True,18.0
Masculino,Branca,Privada,611.4,669.5,785.7,613.5,860.0,PG completo,PG completo,3,Mais de R$26.400,Três,Nenhum,Quatro ou mais,Dois,True,18.0
Feminino,Branca,Estadual,581.6,466.2,549.5,563.1,640.0,PG incompleto,ES incompleto,3,Até R$3960,Um,Nenhum,Três,Um,True,18.0
Feminino,Branca,Privada,585.1,561.5,670.7,603.0,840.0,ES incompleto,PG completo,5,Até R$10560,Dois,Nenhum,Quatro ou mais,Dois,True,17.0
Feminino,Branca,Privada,428.1,431.9,443.9,490.3,720.0,EM incompleto,EM incompleto,3,Até R$3960,Um,Nenhum,Três,Um,True,18.0
Feminino,Parda,Estadual,443.5,513.9,614.9,538.7,560.0,ES incompleto,PG completo,4,Até R$6600,Dois,Nenhum,Quatro ou mais,Um,True,18.0
Masculino,Branca,Privada,563.7,613.7,692.3,550.3,800.0,ES incompleto,ES incompleto,4,Até R$5280,Um,Nenhum,Quatro ou mais,Um,True,18.0
Masculino,Branca,Privada,577.9,576.9,747.0,625.7,880.0,PG incompleto,PG completo,3,Até R$9240,Um,Nenhum,Três,Um,True,17.0
Feminino,Amarela,Estadual,622.1,533.5,669.2,580.2,600.0,PG incompleto,PG incompleto,5,Até R$3960,Nenhum,Nenhum,Quatro ou mais,Nenhum,True,18.0
Masculino,Branca,Privada,661.0,664.7,680.6,651.5,700.0,PG incompleto,ES incompleto,3,Até R$26400,Um,Nenhum,Três,Três,True,18.0
Masculino,Branca,Privada,544.2,638.7,644.2,538.8,800.0,ES incompleto,PG completo,4,Mais de R$26.400,Um,Nenhum,Quatro ou mais,Um,True,17.0
Masculino,Branca,Privada,631.2,555.0,504.2,583.8,600.0,EF-2 incompleto,PG incompleto,4,Até R$11880,Nenhum,Um,Quatro ou mais,Três,True,18.0
Masculino,Preta,Privada,541.3,475.3,580.1,521.2,820.0,PG incompleto,ES incompleto,4,Até R$1980,Um,Nenhum,Três,Um,True,17.0
Masculino,Branca,Privada,726.5,737.2,958.6,710.2,800.0,PG incompleto,PG completo,4,Até R$26400,Dois,Um,Três,Quatro ou mais,True,18.0
Feminino,Branca,Estadual,463.7,496.3,462.8,504.1,520.0,ES incompleto,ES incompleto,3,Até R$1320,Nenhum,Nenhum,Um,Nenhum,True,18.0
Feminino,Branca,Estadual,623.7,537.9,699.7,614.1,660.0,ES incompleto,ES incompleto,3,Até R$7920,Um,Nenhum,Três,Um,True,17.0
Feminino,Parda,Estadual,644.0,558.2,563.2,639.3,840.0,ES incompleto,ES incompleto,3,Até R$3960,Um,Nenhum,Três,Um,True,18.0
Masculino,Branca,Privada,541.1,537.4,705.4,510.4,760.0,ES incompleto,PG completo,4,Até R$26400,Um,Nenhum,Quatro ou mais,Dois,True,17.0
Masculino,Parda,Privada,638.9,667.8,755.5,635.3,860.0,ES incompleto,PG completo,6,Até R$9240,Um,Nenhum,Quatro ou mais,Um,True,18.0
Masculino,Branca,Privada,605.5,563.4,676.1,567.6,820.0,ES incompleto,PG completo,3,Até R$19800,Dois,Nenhum,Quatro ou mais,Quatro ou mais,True,17.0
Feminino,Amarela,Privada,516.5,579.5,762.5,534.4,700.0,ES incompleto,EM incompleto,10,Até R$15840,Três,Nenhum,Quatro ou mais,Dois,True,17.0
Feminino,Preta,Estadual,463.4,385.5,388.4,480.1,500.0,EF-2 incompleto,EF-2 incompleto,4,Até R$1320,Nenhum,Nenhum,Dois,Um,True,18.0
Feminino,Parda,Federal,541.4,450.5,599.6,536.6,760.0,EF-2 incompleto,PG incompleto,4,Até R$9240,Dois,Nenhum,Quatro ou mais,Um,True,18.0
Masculino,Branca,Privada,607.7,675.3,709.8,632.4,580.0,ES incompleto,PG completo,5,Até R$6600,Um,Nenhum,Três,Um,True,17.0
Feminino,Branca,Estadual,603.1,523.9,671.5,568.9,600.0,PG completo,PG completo,3,Até R$5280,Um,Nenhum,Três,Dois,True,18.0
Masculino,Branca,Estadual,559.3,575.5,728.3,617.5,360.0,PG incompleto,EM incompleto,3,Até R$1320,Nenhum,Nenhum,Dois,Nenhum,False,19.0
Masculino,Parda,Estadual,552.1,560.6,484.5,555.1,580.0,EM incompleto,ES incompleto,3,Até R$3300,Um,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Privada,627.4,565.7,641.2,609.9,700.0,PG incompleto,PG incompleto,4,Mais de R$26.400,Dois,Nenhum,Quatro ou mais,Dois,True,19.0
Masculino,Parda,Estadual,514.7,470.3,512.2,526.5,440.0,PG incompleto,PG incompleto,3,Até R$1980,Um,Nenhum,Três,Um,True,17.0
Feminino,Branca,Privada,521.9,533.0,622.1,518.9,820.0,ES incompleto,PG incompleto,5,Mais de R$26.400,Um,Um,Quatro ou mais,Quatro ou mais,True,18.0
Masculino,Parda,Estadual,596.6,551.5,576.0,604.6,560.0,EF-1 incompleto,ES incompleto,3,Até R$1980,Um,Nenhum,Três,Um,True,18.0
Feminino,Branca,Privada,683.3,627.9,744.3,578.7,880.0,PG incompleto,PG completo,3,Mais de R$26.400,Um,Um,Três,Quatro ou mais,True,18.0
Feminino,Branca,Privada,472.4,464.4,534.8,525.9,660.0,ES incompleto,ES incompleto,4,Até R$1320,Um,Nenhum,Três,Um,True,18.0
Masculino,Branca,Privada,446.0,511.2,589.7,476.7,620.0,PG incompleto,PG incompleto,4,Até R$9240,Dois,Nenhum,Quatro ou mais,Nenhum,True,18.0
Masculino,Branca,Privada,562.0,526.4,642.4,547.5,680.0,EM incompleto,PG incompleto,5,Até R$7920,Um,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Parda,Estadual,536.1,500.1,478.3,503.5,620.0,PG incompleto,ES incompleto,3,Até R$5280,Um,Nenhum,Três,Um,True,17.0
Feminino,Branca,Estadual,355.9,401.5,362.2,329.9,260.0,EM incompleto,EM incompleto,1,Nenhuma renda,Nenhum,Nenhum,Um,Nenhum,False,19.0
Masculino,Preta,Privada,462.2,355.4,514.7,523.4,600.0,EM incompleto,PG completo,3,Até R$9240,Um,Nenhum,Um,Um,True,17.0
Feminino,Amarela,Privada,640.1,728.6,810.3,660.4,920.0,PG incompleto,PG incompleto,3,Nenhuma renda,Um,Nenhum,Quatro ou mais,Um,True,17.0
Masculino,Parda,Estadual,599.5,526.2,627.9,533.8,640.0,EM incompleto,EM incompleto,4,Até R$2640,Um,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Privada,544.3,539.7,493.7,540.9,800.0,PG completo,PG completo,5,Mais de R$26.400,Três,Nenhum,Quatro ou mais,Dois,True,18.0
Feminino,Amarela,Privada,732.7,733.8,894.2,666.1,880.0,PG completo,PG completo,4,Até R$26400,Quatro ou mais,Nenhum,Quatro ou mais,Quatro ou mais,True,18.0
Feminino,Branca,Privada,577.6,430.5,450.9,615.9,880.0,PG completo,PG completo,2,Até R$19800,Dois,Um,Um,Três,True,18.0
Feminino,Branca,Privada,478.3,425.4,544.9,472.6,540.0,ES incompleto,ES incompleto,5,Até R$11880,Dois,Um,Três,Quatro ou mais,True,18.0
Masculino,Parda,Estadual,632.5,522.7,587.2,601.6,720.0,EF-1 incompleto,EF-1 incompleto,4,Até R$1320,Nenhum,Nenhum,Nenhum,Nenhum,False,18.0
Feminino,Branca,Privada,531.2,559.0,757.6,527.5,920.0,ES incompleto,PG incompleto,5,Até R$9240,Dois,Nenhum,Quatro ou mais,Um,True,17.0
Feminino,Branca,Estadual,379.6,382.3,363.7,394.1,200.0,ES incompleto,EF-2 incompleto,3,Até R$1980,Um,Nenhum,Três,Nenhum,True,20.0
Feminino,Branca,Estadual,563.8,498.8,539.2,566.5,800.0,ES incompleto,PG incompleto,4,Até R$3300,Um,Nenhum,Três,Um,True,17.0
Masculino,Preta,Estadual,519.0,442.1,497.7,438.5,580.0,PG incompleto,EM incompleto,5,Até R$5280,Nenhum,Nenhum,Quatro ou mais,Nenhum,True,18.0
Feminino,Branca,Privada,573.6,625.5,680.1,559.7,760.0,PG completo,PG incompleto,4,Até R$11880,Dois,Nenhum,Quatro ou mais,Dois,True,17.0
Masculino,Parda,Estadual,393.7,406.9,622.6,492.3,700.0,ES incompleto,EF-2 incompleto,3,Até R$3960,Um,Nenhum,Três,Um,True,18.0
Masculino,Branca,Privada,420.4,559.9,614.7,503.9,680.0,PG incompleto,ES incompleto,4,Até R$1980,Nenhum,Nenhum,Três,Nenhum,True,17.0
Feminino,Parda,Estadual,327.7,396.6,473.8,305.2,320.0,EF-1 incompleto,EF-2 incompleto,6,Até R$1980,Nenhum,Nenhum,Quatro ou mais,Nenhum,True,18.0
Feminino,Branca,Estadual,589.9,557.6,492.5,574.3,740.0,EF-2 incompleto,ES incompleto,3,Até R$1980,Nenhum,Um,Um,Nenhum,True,18.0
Masculino,Branca,Privada,621.4,553.6,657.9,678.9,560.0,ES incompleto,PG incompleto,4,Até R$7920,Um,Um,Quatro ou mais,Nenhum,True,17.0
Feminino,Parda,Estadual,493.6,478.6,541.9,558.1,680.0,PG incompleto,ES incompleto,3,Até R$1320,Um,Nenhum,Três,Um,True,18.0
Masculino,Parda,Estadual,451.6,558.7,745.3,594.3,900.0,PG incompleto,ES incompleto,2,Até R$1980,Nenhum,Nenhum,Dois,Um,True,17.0
Masculino,Branca,Estadual,562.6,584.5,699.4,573.6,520.0,PG incompleto,PG incompleto,5,Até R$3960,Três,Nenhum,Quatro ou mais,Um,True,18.0
Masculino,Amarela,Privada,655.4,766.6,958.6,669.2,840.0,PG completo,PG incompleto,4,Até R$10560,Dois,Nenhum,Quatro ou mais,Dois,True,17.0
Masculino,Branca,Estadual,568.3,491.9,678.0,557.5,580.0,ES incompleto,ES incompleto,4,Até R$2640,Um,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Estadual,469.7,533.7,576.6,467.7,780.0,EM incompleto,EM incompleto,3,Nenhuma renda,Nenhum,Nenhum,Três,Um,True,18.0
Feminino,Parda,Estadual,617.6,536.3,493.5,653.7,600.0,EF-2 incompleto,ES incompleto,4,Até R$1980,Um,Nenhum,Três,Um,True,18.0
Masculino,Branca,Privada,515.2,549.5,636.7,491.7,400.0,ES incompleto,ES incompleto,3,Até R$9240,Dois,Nenhum,Três,Um,True,18.0
Masculino,Parda,Privada,574.4,562.0,421.7,567.1,560.0,ES incompleto,PG incompleto,2,Até R$10560,Um,Nenhum,Dois,Dois,True,17.0
Masculino,Branca,Privada,517.5,467.4,531.2,502.3,860.0,PG completo,PG incompleto,4,Até R$10560,Um,Nenhum,Três,Um,True,17.0
Feminino,Branca,Privada,578.5,596.6,768.4,575.9,920.0,PG completo,PG completo,3,Mais de R$26.400,Um,Nenhum,Quatro ou mais,Quatro ou mais,True,17.0
Masculino,Parda,Estadual,511.0,383.1,606.9,509.0,640.0,ES incompleto,PG completo,5,Até R$2640,Um,Um,Quatro ou mais,Três,True,18.0
Feminino,Parda,Estadual,489.4,424.9,575.2,397.7,540.0,EM incompleto,EM incompleto,5,Até R$1980,Nenhum,Nenhum,Nenhum,Um,True,18.0
Masculino,Branca,Estadual,0.0,429.4,359.7,295.2,0.0,EM incompleto,EM incompleto,5,Até R$2640,Nenhum,Nenhum,Quatro ou mais,Um,True,18.0
Feminino,Branca,Estadual,539.7,540.9,511.5,455.9,420.0,ES incompleto,PG incompleto,4,Até R$1980,Nenhum,Nenhum,Dois,Nenhum,True,18.0
Masculino,Parda,Privada,748.7,768.3,898.8,695.8,900.0,PG incompleto,PG incompleto,4,Mais de R$26.400,Um,Nenhum,Quatro ou mais,Quatro ou mais,True,17.0
Masculino,Branca,Estadual,429.9,410.1,416.0,342.9,460.0,PG incompleto,PG incompleto,3,Até R$2640,Um,Nenhum,Três,Dois,True,18.0
Masculino,Parda,Privada,632.8,573.7,711.2,605.5,720.0,ES incompleto,PG incompleto,4,Mais de R$26.400,Dois,Um,Quatro ou mais,Três,True,17.0
Feminino,Branca,Estadual,502.3,431.2,387.4,480.1,500.0,EM incompleto,EM incompleto,2,Até R$1980,Nenhum,Nenhum,Dois,Um,True,19.0
Masculino,Amarela,Privada,675.1,665.9,766.7,669.2,900.0,PG completo,PG completo,4,Até R$26400,Dois,Nenhum,Quatro ou mais,Quatro ou mais,True,18.0
Masculino,Branca,Privada,574.5,556.7,600.7,563.5,560.0,PG incompleto,PG completo,3,Até R$6600,Um,Nenhum,Três,Três,True,18.0
Masculino,Amarela,Privada,692.3,708.8,924.6,663.8,820.0,PG completo,PG incompleto,4,Mais de R$26.400,Dois,Nenhum,Quatro ou mais,Quatro ou mais,True,18.0
Feminino,Amarela,Privada,599.5,679.5,810.2,624.4,880.0,PG incompleto,PG incompleto,5,Até R$26400,Dois,Nenhum,Quatro ou mais,Quatro ou mais,True,17.0
Feminino,Branca,Estadual,506.2,429.4,506.4,566.7,520.0,ES incompleto,ES incompleto,2,Até R$1980,Nenhum,Nenhum,Um,Nenhum,True,17.0
Feminino,Branca,Privada,444.5,459.3,393.8,459.3,480.0,ES incompleto,PG incompleto,2,Até R$2640,Um,Nenhum,Dois,Um,True,17.0
Masculino,Branca,Privada,609.5,636.3,702.1,605.5,780.0,PG completo,PG completo,3,Mais de R$26.400,Um,Nenhum,Três,Três,True,18.0
Masculino,Parda,Estadual,556.6,481.0,615.6,496.1,640.0,ES incompleto,EF-2 incompleto,4,Até R$1980,Um,Nenhum,Quatro ou mais,Nenhum,True,18.0
Feminino,Parda,Estadual,565.5,477.3,471.4,595.1,740.0,PG incompleto,PG incompleto,4,Até R$1980,Um,Nenhum,Quatro ou mais,Um,True,18.0
Masculino,Parda,Estadual,490.4,423.1,580.9,517.5,520.0,ES incompleto,ES incompleto,4,Até R$3960,Nenhum,Um,Quatro ou mais,Um,True,18.0
Feminino,Parda,Estadual,449.8,453.3,388.3,503.6,600.0,EM incompleto,EM incompleto,4,Até R$1980,Um,Nenhum,Três,Nenhum,True,18.0
Masculino,Branca,Estadual,602.7,595.1,579.1,634.7,440.0,ES incompleto,ES incompleto,5,Até R$2640,Um,Nenhum,Dois,Um,True,20.0
Masculino,Branca,Privada,697.4,663.1,822.2,637.3,760.0,PG completo,PG completo,4,Até R$3300,Um,Nenhum,Quatro ou mais,Quatro ou mais,True,17.0
